Scholarship_Name,Scholarship_Type,Country,Funding_Level,Funding_Details,Application_Mode,Application_Month,Start_Date,End_Date,Quantity,For_Vietnamese,Eligibility,Eligible_Applicants,Field_Restriction,Danh_Sách_Nhóm_Ngành,Eligible_Fields,Required_Degree,Min_Gpa,Bachelor_Ranking_Requirement,Bachelor_Field_Relevance,Experience_Years,Min_Working_Hours,Language_Certificate,Academic_Certificate,Awards_Requirement,Publication_Requirement,Age,Gender,Special_Circumstances,Career_Plan,Other_Requirements,Scholarship_Info,Application_Documents,Timeline,Url
Chevening  Schoolarship,Chính phủ,Anh,"Toàn phần, Sinh hoạt phí, Chi phí khác","Lệ phí xin thị thực vào Anh
Chi phí làm thủ tục nhập học, khám sức khỏe
Vé máy bay khứ hồi đến Anh với chuyến đi đã được cho phép
Học phí: Chevening tài trợ toàn bộ học phí khóa học; nếu học sinh MBA thì chỉ tài trợ 22,000GBP (nếu hơn ứng viên tự chi trả phần chênh lệch)
Sinh hoạt phí hàng tháng và một số phụ cấp",Thường niên,8,2025-08-05 00:00:00,2025-10-07 23:59:59,20 cho sinh viên Việt Nam,True,Không,,Không,"Policy and Politics, Business and Economics, Law, Media and Communication, STEM, Development Studies","Policy and Politics: Public Policy, International Relations, International Development; Business and Economics: Finance, International Business, Marketing, Economics; Law: International Law, Human Rights Law, Commercial Law; Media and Communication: Journalism, Digital Media, Public Relations; STEM: Data Science, Environmental Engineering, Public Health",Bằng Cử nhân,0.0,Bằng tốt nghiệp loại Khá trở lên,Không yêu cầu chặt chẽ,2.0,,"IELTS >= 6.5, Tùy khóa học",Không bắt buộc,Không,Không,Không yêu cầu,Không yêu cầu,Không,Ứng viên phải cam kết quay trở lại Việt Nam làm việc ít nhất 2 năm sau khi hoàn thành khóa học,"Lãnh đạo, Kết nối, Cam kết trở về, Tác động xã hội","Học bổng Chevening là một chương trình học bổng danh giá của chính phủ Anh. Với nguồn tài trợ chính đến từ Bộ ngoại giao Anh và Khối thịnh vượng chung cùng các đối tác, học bổng Chevening hỗ trợ khóa học thạc sĩ trong vòng 1 năm tại Vương quốc Anh, cho phép bạn học tập và trải nghiệm môi trường hàng đầu thế giới.","Đơn online nộp tại https://www.chevening.org/vietnam
Bằng cấp
Kinh nghiệm làm việc
Thư giới thiệu
Tthư nhập học không điều kiện (UCAS/UK uni offer)
Chứng chỉ tiếng Anh (nếu trường yêu cầu)
Phỏng vấn tại Đại sứ quán/Tổng lãnh sự quán Anh.","5/8 – 7/10/2025: Mở đơn 
Tháng 10 - tháng 1: Sàng lọc hồ sơ
Tháng 3 - tháng 4: Phỏng vấn
Giữa tháng 6: Kết quả phỏng vấn
9/7 năm kế tiếp: Hạn chót nộp offer
Tháng 9–10: Nhập học",https://www.chevening.org/
Australia Awards Scholarships AAS,Chính phủ,Úc,"Toàn phần, Sinh hoạt phí, Chi phí khác","học phí
sinh hoạt phí
vé máy bay khứ hồi
bảo hiểm y tế
hỗ trợ nghiên cứu
hỗ trợ ban đầu
phụ cấp sinh hoạt
đào tạo tiếng Anh trước khóa học nếu cần",Thường niên,2,2025-01-31 00:00:00,2025-04-30 20:59:59,1151,True,Có,"Công dân từ các nước đang phát triển trong khu vực châu Á, Thái Bình Dương, châu Phi; không dành cho công dân Úc/NZ hoặc thường trú nhân; không dành cho quân nhân đang phục vụ; không được kết hôn/đính hôn với công dân/thường trú nhân Úc/NZ.",Có,"Governance and Economic Growth, Infrastructure and Transport, Education, Gender Equality, Agriculture and Rural Development, Health, Climate Change","Governance and Economic Growth: Public Policy, Economics, Taxation, International Trade; Infrastructure and Transport: Transport Planning, Urban and Regional Planning, Project Management; Education: Education Management, Special Education; Gender Equality: Gender and Development Studies; Agriculture and Rural Development: Agribusiness, Sustainable Agriculture",Bằng Cử nhân,0.0,Có,Không yêu cầu chặt chẽ,0.0,0.0,"IELTS >= 6.5, TOEFL iBT >= 84, PTE Academic >= 58","GMAT, GRE, Không bắt buộc",Không,Không,Từ 18 tuổi trở lên,Không yêu cầu,"Không được kết hôn/đính hôn với công dân/thường trú nhân Úc/NZ, không là quân nhân đương chức, không có tiền án đặc biệt liên quan đến trẻ em/PSEAH",Yêu cầu phải trở về nước ít nhất 2 năm để đóng góp phát triển (nếu không sẽ phải hoàn trả toàn bộ chi phí học bổng),"Cam kết trở về, Tầm nhìn","Học bổng dài hạn, toàn phần do Bộ Ngoại giao và Thương mại Úc quản lý nhằm phát triển nguồn nhân lực cho các quốc gia đối tác trong khu vực Ấn Độ Dương – Thái Bình Dương.","
Đơn online qua hệ thống OASIS hoặc bản cứng
Giấy tờ tùy thân (CMND/hộ chiếu)
Bằng cấp, bảng điểm
Chứng chỉ tiếng Anh
CV
Thư giới thiệu (Referee reports)
Kế hoạch phát triển (Development Impact Plan – nếu yêu cầu)",,https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships
Fulbright Vietnamese Student Program,Chính phủ,Hoa Kỳ,"Toàn phần, Sinh hoạt phí, Chi phí khác","Học phí
Sinh hoạt phí hàng tháng
Bảo hiểm ốm đau và tai nạn
Vé máy bay khứ hồi giữa Việt - Nam và Hoa Kỳ",Thường niên,12,2024-12-01 00:00:00,2025-04-01 17:00:00,,True,Có,"Hợp lệ:
- Là công dân Việt Nam (không mang hai quốc tịch và cư trú ở Việt Nam trong suốt quá trình dự tuyển)
- Ưu tiên dành cho các ứng viên có ít trải nghiệm hoặc không có trải nghiệm gần đây tại Hoa Kỳ
Không hợp lệ: 
- Đã từng nhận học bổng Thạc sỹ Fulbright.
- Đang sinh sống hoặc học tập tại Hoa Kỳ hoặc một quốc gia khác.
- Đã có bằng Cử nhân hoặc Thạc sỹ từ một trường Đại học/Cao đẳng Hoa Kỳ trong vòng 3 năm qua.
- Nhân viên và vợ/chồng/con của nhân viên làm việc cho Phái đoàn Ngoại giao Hoa Kỳ tại Việt Nam trực thuộc Bộ Ngoại - giao Hoa Kỳ (trong thời gian làm việc và 1 năm sau khi nghỉ việc)
- Đã nhận học bổng toàn phần cho bậc sau đại học trong vòng 5 năm qua bất kể từ nguồn tài trợ tài chính nào.",Có,"Social Sciences and Humanities, STEM, Arts, Public Health, Education, Law","Social Sciences and Humanities: Anthropology, Economics, History, Linguistics, Political Science, Sociology; STEM: Biology, Chemistry, Computer Science, Environmental Science, Engineering; Arts: Art History, Film Studies, Music, Theater Arts; Public Health: Epidemiology, Health Policy; Education: TESOL, Educational Administration",Bằng Cử nhân,0.0,Không,Yêu cầu chặt chẽ,2.0,0.0,"IELTS >= 6.5, TOEFL iBT ≥ 79, Duolingo ≥ 110, TOEFL Essentials ≥ 8.5","GMAT, GRE",Không,Không,Không yêu cầu,Không yêu cầu,Không,Thể hiện sự cống hiến cho Việt Nam và tiềm năng tạo ra các tác động tích cực khi quay trở về.,"Lãnh đạo, Kết nối, Cam kết trở về, Tầm nhìn, Hoạt động cộng đồng","Phái đoàn Ngoại giao Hoa Kỳ tại Việt Nam tìm kiếm các ứng viên đủ điều kiện cho Chương trình Sinh viên Việt Nam Fulbright 2026, chương trình này cung cấp học bổng toàn phần cho những cá nhân theo học bậc Thạc sĩ tại Hoa Kỳ. Các ứng viên đa dạng từ khắp Việt Nam, theo đuổi nhiều lĩnh vực học tập khác nhau, đều được chào đón nộp đơn. Đặc biệt khuyến khích các hồ sơ thuộc lĩnh vực Khoa học và Công nghệ.","Đơn dự tuyển trực tuyến nộp tại https://apply.iie.org/ffsp2026/   
02 bài luận
03 thư giới thiệu
Bảng điểm và bằng tốt nghiệp từ bậc đại học trở lên
Chứng chỉ TOEFL/IELTS/TOEFL Essentials/Duolingo còn giá trị sử dụng
Lý lịch công việc (CV)","Tháng 12/2024: Thông báo nhận hồ sơ trực tuyến
1/4/2025: Hạn cuối nhận hồ sơ
Tháng 6 – 7/2025: Xét duyệt hồ sơ & tuyển chọn ứng viên vào vòng phỏng vấn
Tháng 8/2025: Phỏng vấn & lựa chọn ứng viên trúng tuyển
Tháng 9 – 10/2025: Ứng viên trúng tuyển thi GRE/GMAT/TOEFL iBT/IELTS
Tháng 11/2025 –3/2026: Nộp hồ sơ vào các trường Đại học Hoa Kỳ
Tháng 4 – 5/2026: Quyết định chính thức về trường mà ứng viên sẽ theo học
Tháng 5 hoặc 6/2026: Chương trình Phổ biến thông tin trước khi đi học cho ứng viên trúng tuyển
Tháng 6 – 7/2026: Khám sức khỏe & phỏng vấn thị thực Hoa Kỳ
Tháng 7 – 8/2026: Khởi hành sang Hoa Kỳ",https://us.fulbrightonline.org/
Manaaki New Zealand Scholarship,Chính phủ,New Zealand,"Toàn phần, Sinh hoạt phí, Chi phí khác","100% học phí.
Trợ cấp sinh hoạt (trợ cấp) cho các chi phí hàng ngày.
Trợ cấp thành lập cho chi phí thiết lập ở New Zealand.
Bảo hiểm y tế và du lịch.
Vé máy bay đến và đi từ New Zealand.
Hỗ trợ nghiên cứu và luận án (dành cho nghiên cứu sinh sau đại học).",Thường niên,2,2026-02-01 00:00:00,2026-08-31 00:00:00,,True,Có,"Chỉ dành cho công dân các quốc gia đủ điều kiện (trong đó có Việt Nam), phải sống tại quốc gia ít nhất 2 năm trước khi nộp, cam kết quay về nước ít nhất 2 năm sau tốt nghiệp",Có,"Climate Change and the Environment, Disaster Risk Management, Food Security and Agriculture, Renewable Energy, Good Governance","Climate Change and the Environment: Environmental Science, Climate Change Adaptation, Environmental Management; Food Security and Agriculture: Agribusiness, Agricultural Science, Food Technology; Renewable Energy: Renewable Energy Systems, Sustainable Energy; Good Governance: Public Policy, Development Studies",Bằng Cử nhân,0.0,Không,Không đề cập,0.0,0.0,Tùy khóa học,Không bắt buộc,Không,Không,Từ 18 tuổi trở lên,Không yêu cầu,Không,Bắt buộc cam kết quay về nước ít nhất 2 năm để đóng góp phát triển quốc gia,"Lãnh đạo, Cam kết trở về, Kết nối, Tác động xã hội, Tầm nhìn","Học bổng toàn phần do Chính phủ New Zealand tài trợ, quản lý bởi MFAT, mục tiêu phát triển bền vững và xây dựng nhân lực cho các quốc gia đối tác","Thư giới thiệu (nếu có).
Giấy xác nhận tình trạng sinh viên/Giấy chứng nhận trung học phổ thông hoặc Tốt nghiệp cử nhân.
Bảng điểm học tập chương trình cử nhân (nếu có).
Bằng chứng về trình độ ngôn ngữ (tiếng Anh) / Phương tiện giảng dạy (tiếng Anh).
CV (nếu cần).
Thư động lực/tuyên bố mục đích (nếu có).
Tài liệu bổ sung cho các trường hợp đặc biệt.
Bản sao hộ chiếu còn hiệu lực (ảnh và trang thông tin).
Bản sao cỡ hộ chiếu (Ảnh chuyên nghiệp với nền trắng và kích thước dưới 2 MB).
 Thư mời nhập học đại học (nếu đã được cấp).",,https://www.nzscholarships.govt.nz/
Government of Ireland International Education Scholarships (GOI - IES),Chính phủ,Ireland,"Sinh hoạt phí, Toàn phần","Khoản trợ cấp €10,000 cho một năm học toàn thời gian tại các cấp độ NFQ 9 hoặc 10.
Toàn bộ học phí trong 1 năm ",Thường niên,11,,2025-03-06 23:00:00,60,True,Có,"Ứng viên phải có quốc tịch ngoài EU/EEA, Thụy Sĩ và Vương quốc Anh.",Không,All academic disciplines,"All fields: All Master's and PhD programmes offered by eligible Irish Higher Education Institutions. Examples include: Humanities: History, Literature; STEM: Data Analytics, Pharmaceutical Sciences, Sustainable Energy; Business: International Management, Digital Marketing",Bằng Cử nhân,0.0,Không,Không yêu cầu chặt chẽ,0.0,0.0,Tùy khóa học,Không bắt buộc,"Không, Thành tích học tập tốt",Không,Không yêu cầu,Không yêu cầu,Không,Trình bày rõ ràng định hướng nghề nghiệp và tại sao chọn Ireland,"Lãnh đạo, Kỹ năng giao tiếp, Cam kết trở về, Hoạt động ngoại khóa","Học bổng Giáo dục Quốc tế Chính phủ Ireland (GOI-IES) là chương trình uy tín do Bộ Giáo dục Đại học, Nghiên cứu, Đổi mới và Khoa học Ireland tài trợ, được quản lý bởi Cơ quan Giáo dục Đại học (HEA). Mỗi năm, chương trình trao 60 suất học bổng cho sinh viên quốc tế có thành tích xuất sắc đến học tập toàn thời gian tại Ireland ở bậc thạc sĩ (NFQ 9) hoặc tiến sĩ (NFQ 10).
Học bổng bao gồm: trợ cấp sinh hoạt €10,000 trong một năm, cùng với miễn toàn bộ học phí và phí đăng ký do trường đại học chủ trì chi trả. Mục tiêu của chương trình là thu hút những cá nhân có năng lực học thuật vượt trội, có khả năng trở thành đại sứ văn hóa và học thuật của Ireland tại quê hương và trên thế giới.","Đơn online
2 thư giới thiệu
onditional/final offer
Essay nêu lý do chọn Ireland và định hướng","5/3/2025: Kết thúc vòng hồ sơ
6/2025: Kết quả vòng hồ sơ
Tháng 9 - 10/2025: Nhập học",https://hea.ie/2021/12/02/government-of-ireland-international-education-scholarships-2022/
Study Scholarships – Master Studies for All Academic Disciplines • DAAD,Chính phủ,Đức,"Sinh hoạt phí, Trợ cấp học tập, Chi phí khác","Trợ cấp sinh hoạt 992 euro/tháng
Hỗ trợ bảo hiểm y tế, tai nạn và trách nhiệm dân sự cá nhân
Trợ cấp đi lại
Trợ cấp học tập hằng năm: €460
Trợ cấp thuê nhà hàng tháng (có thể xin thêm)
Trợ cấp cho thành viên gia đình đi cùng (có thể xin thêm)
Hỗ trợ cho ứng viên khuyết tật hoặc bệnh mãn tính (nếu có)
Hỗ trợ Green Mobility (du lịch thân thiện môi trường) hoặc hoàn tiền bù khí thải carbon cho chuyến bay
Học phí khóa học tiếng Đức trực tuyến, khóa tiếng Đức 2–6 tháng trước khi bắt đầu chương trình, trợ cấp cho khóa tiếng Đức cá nhân, hoàn phí thi TestDaF/DSH
Lưu ý: DAAD không chi trả học phí.",Tùy giai đoạn,Tùy giai đoạn,2026-10-01 00:00:00,,,True,Không,,Không,"Engineering, Regional and Urban Planning, Agricultural and Forest Sciences, Natural and Environmental Sciences, Medicine and Public Health, Social Sciences, Education and Law, Media Studies","Engineering: Hydro Science and Engineering, Renewable Energy Management; Medicine and Public Health: International Health (MPH), Global Health; Social Sciences, Education and Law: Development Management, Public Policy, International Education Management; Natural and Environmental Sciences: Environmental Governance",Bằng Cử nhân,0.0,Không,Không yêu cầu chặt chẽ,2.0,0.0,"Tùy khóa học, Tiếng Anh, Tiếng Đức",Không bắt buộc,Có sẽ được đánh giá rất cao,Không,Không yêu cầu,Không yêu cầu,Ứng viên khuyết tật hoặc có bệnh mãn tính có thể xin thêm hỗ trợ tài chính,,"Hoạt động ngoại khóa, Hoạt động cộng đồng","Học bổng DAAD – Thạc sĩ cho tất cả ngành học, được tài trợ bởi Bộ Ngoại giao Liên bang Đức, hỗ trợ sinh viên quốc tế học toàn phần hoặc một phần chương trình Thạc sĩ tại Đức.
Xin lưu ý: Đối với các ứng viên từ các ngành nghệ thuật và lĩnh vực kiến trúc, DAAD cung cấp các chương trình học bổng khác tại https://www2.daad.de/
","Mẫu đơn đăng ký DAAD “Đơn xin học bổng nghiên cứu/học tập”.
CV được sắp xếp theo trình tự thời gian đảo ngược, không có khoảng trống thời gian mà không có giải thích (europass cv), bao gồm thông tin chính xác về quá trình học tập và kinh nghiệm thực tế.
Thư động lực, có nêu chi tiết lý do học tập, lý do nghề nghiệp và lý do cá nhân để đăng ký tham gia chương trình.
Thư giới thiệu từ người sử dụng lao động hiện tại. Thư phải bao gồm letter head, chữ ký và con dấu chính thức.
(Các) giấy chứng nhận việc làm từ (các) người sử dụng lao động cho thấy ứng viên có ít nhất hai năm kinh nghiệm làm việc liên quan sau khi có bằng cử nhân tại thời điểm nộp hồ sơ. Giấy chứng nhận việc làm từ người sử dụng lao động hiện tại, nếu có thể, phải bao gồm sự đảm bảo về việc làm lại sau khi trở về nước.
Chứng chỉ ngôn ngữ gần đây: Tiếng Anh hoặc Tiếng Đức (Chỉ cần cho các khóa học dạy bằng tiếng Đức).
Bản sao chứng chỉ trình độ giáo dục đại học bao gồm bản dịch được chứng thực nếu bản gốc không phải bằng tiếng Đức hoặc tiếng Anh.
Bản sao bảng điểm hoàn chỉnh bao gồm phần giải thích về hệ thống chấm điểm.",,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026200
Erasmus Mundus Joint Masters,Chính phủ,Liên minh châu Âu,"Toàn phần, Sinh hoạt phí, Chi phí khác","100% học phí 
Chi phí đi lại, visa, vé máy bay quốc tế
1100 - 1200 euro sinh hoạt phí hàng tháng",Thường niên,10,2026-10-01 00:00:00,2027-01-01 00:00:00,2400,True,Có,"Không phải công dân EU, không cư trú/làm việc ở EU quá 12 tháng trong 5 năm gần đây",Không,All academic disciplines,"Various: The catalogue includes over 190 specific, integrated Master's courses. Examples include: Engineering: Advanced Materials Science and Engineering (AMASE); Humanities: European Literary Cultures (CLE); Sciences: Marine Environment (MER); Social Sciences: Public Policy (Mundus MAPP)","Bằng Cử nhân, Sắp tốt nghiệp",,Không,Không yêu cầu chặt chẽ,0.0,0.0,"IELTS >= 6.5, Chứng chỉ tương đương","Không bắt buộc, GMAT, GRE","Không, Có sẽ được đánh giá rất cao",Không,Không yêu cầu,Không yêu cầu,Không,"Không ràng buộc trở về
Khuyến khích ứng viên có định hướng nghề nghiệp quốc tế
Có thể ở lại làm việc tại EU nhờ job-search visa",,"Chương trình Thạc sĩ liên kết Erasmus Mundus là những chương trình thạc sĩ quốc tế danh giá, được thiết kế và triển khai chung bởi một nhóm các cơ sở giáo dục đại học. Chương trình bao gồm các giai đoạn học tập, nghiên cứu, thực tập, chuẩn bị và bảo vệ luận văn. Học bổng là toàn phần và bao gồm học phí, chi phí đi lại, visa và trợ cấp sinh hoạt. 
Khi tham gia chương trình, ứng viên được học tập tại 2 - 4 quốc gia, trong vòng 1 - 2 năm (tương đương 60 - 120 ETCS).","CV (theo Europass)
Thư động lực (Motivation Letter / Statement of Purpose)
Thư giới thiệu (2 LOR)
Chứng chỉ ngoại ngữ (IELTS/TOEFL hoặc tương đương)
Bằng cử nhân và bảng điểm (dịch công chứng)
Hộ chiếu
Các giấy tờ bổ sung: giải thưởng, chứng chỉ, minh chứng hoạt động (nếu có)
Một số chương trình có thể yêu cầu: Interview, Project, Research Proposal","Tháng 10 - tháng 1 (hoặc tháng 3 tùy chương trình): Nộp hồ sơ
",https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters-scholarships
Orange Knowledge Program In Netherlands OKP,Chính phủ,Hà Lan,"Toàn phần, Sinh hoạt phí, Chi phí khác","100% học phí
trợ cấp hàng tháng 970 EUR/tháng
bảo hiểm 40 EUR/tháng
vé máy bay 1.550 EUR khứ hồi
phí visa 171 EUR
sách vở 585 EUR",Tùy giai đoạn,Tùy giai đoạn,,,,True,Có,"yêu cầu ứng viên là công dân và đang làm việc tại quốc gia thuộc danh sách OKP; ưu tiên cán bộ nhà nước, cơ quan giáo dục, tổ chức xã hội, hoặc tư nhân trong lĩnh vực ưu tiên, thành thạo tiếng Anh hoặc tiếng Pháp. Ưu tiên ứng viên đang làm việc trong lĩnh vực ưu tiên tại quốc gia đủ điều kiện.",Có,"Food and nutrition security, Water, energy and climate, Sexual and reproductive health and rights, Security and rule of law, Private sector development","Food and nutrition security: Agriculture and Food Security; Water, energy and climate: Water Management and Governance; Security and rule of law: International Law and Human Rights; Sexual and reproductive health and rights: Public Health",Bằng Cử nhân,0.0,Không,Yêu cầu chặt chẽ,0.0,0.0,"Tiếng Anh, Tùy khóa học",Không bắt buộc,Không,Không,Không yêu cầu,Không yêu cầu,Không,CCm kết áp dụng và chuyển giao kiến thức cho tổ chức đang làm việc.,"Cam kết trở về, Đóng góp phát triển","Đây là chương trình học bổng toàn phần dành cho sinh viên quốc tế theo học tại các trường đại học ở Hà Lan. Orange Knowledge Programme (OKP) là một chương trình học bổng danh giá nhằm hỗ trợ các chuyên gia đến từ các quốc gia đang phát triển trong quá trình theo đuổi giáo dục bậc cao và các cơ hội phát triển nghề nghiệp tại Hà Lan.
Chương trình học bổng OKP tập trung vào nhiều lĩnh vực đa dạng, bao gồm nông nghiệp, kỹ thuật, khoa học môi trường, kinh tế, quản trị, và nhiều ngành khác. Mục tiêu của chương trình là trao quyền cho cá nhân bằng những kiến thức và kỹ năng cần thiết để giải quyết các thách thức toàn cầu cấp bách, đồng thời thúc đẩy những thay đổi tích cực trong lĩnh vực chuyên môn cũng như cộng đồng của họ.","Thư từ nhà tuyển dụng (employer statement)
Thư động lực (motivation letter)
Hộ chiếu (passport)
Bản cam kết từ chính phủ (government statement, nếu yêu cầu)
Thư chấp nhận học tại trường Hà Lan (admission letter)",,https://opportunityportal.info/orange-knowledge-programme/
France Excellence Eiffel Scholarship Program,Chính phủ,Pháp,"Sinh hoạt phí, Chi phí khác","1.181 EUR trợ cấp sinh hoạt hàng tháng
Vé máy bay quốc tế, đi lại trong nước
Bảo hiểm",Thường niên,10,2025-10-01 05:00:00,2026-01-09 05:59:59,,True,Có,"Ứng viên phải do trường đại học Pháp đề cử, không chấp nhận nộp trực tiếp bởi sinh viên. Học bổng không được kết hợp với Erasmus+, AUF, hoặc học bổng Chính phủ Pháp khác.",Có,"Science and Technology, Humanities and Social Sciences","Science and Technology: Biology and Health, Ecological Transition, Mathematics and Digital, Engineering Sciences; Humanities and Social Sciences: History, French Language and Civilization, Law and Political Science, Economics and Management","Bằng Cử nhân, Tương đương bằng Cử nhân",0.0,Không,Yêu cầu chặt chẽ,0.0,0.0,Tùy khóa học,Không bắt buộc,Không,Không,Dưới 27 tuổi,Không yêu cầu,Không,Mục tiêu là đào tạo “future leaders” cho khu vực công & tư.,,Chương trình học bổng Eiffel được Bộ Ngoại giao Pháp thành lập nhằm giúp các cơ sở giáo dục đại học Pháp thu hút sinh viên quốc tế xuất sắc vào chương trình Thạc sĩ và Tiến sĩ. Mục tiêu của chương trình là đào tạo các nhà lãnh đạo tương lai từ bên ngoài nước Pháp trong các lĩnh vực ưu tiên.,"Hồ sơ học thuật & bằng cấp
Giấy chứng nhận nhập học (do trường Pháp đề cử)
Giấy tờ cá nhân (hộ chiếu, thông tin liên lạc)
Chứng nhận bảo hiểm y tế khi sang Pháp","1/10/2025: Mở đơn đăng ký 
8/1/2026: Đóng đơn đăng ký
Giữa tháng 4/2026: Công bố kết quả",https://www.campusfrance.org/en/france-excellence-eiffel-scholarship-program
MBA National University of Singapore (NUS),Trường,Singapore,"Toàn phần, Bán phần","xét dựa trên thành tích, tiềm năng lãnh đạo, và hoàn cảnh tài chính",Thường niên,8,2025-08-01 00:00:00,2025-10-30 00:00:00,,True,Không,,Không,Business Administration,"Business Administration: Master of Business Administration (MBA), Executive MBA",Bằng Cử nhân,3.6,Không,Yêu cầu chặt chẽ,2.0,0.0,"IELTS >= 7.0, TOEFL iBT >= 100","GMAT, GRE, GMAT Focus","Có sẽ được đánh giá rất cao, Không",Không,Không yêu cầu,Không yêu cầu,Yếu tố hoàn cảnh tài chính được xét đến trong học bổng ASEAN MBA,,"Lãnh đạo, Hoàn cảnh tài chính","Tất cả ứng viên sẽ tự động được xét học bổng NUS MBA (không cần nộp đơn riêng). Học bổng được xét và trao liên tục trong suốt chu kỳ tuyển sinh – khuyến khích nộp sớm để tăng cơ hội. Học bổng NUS MBA ASEAN dành cho ứng viên hệ full-time đến từ các quốc gia ASEAN (ngoại trừ Singapore). Tiêu chí xét chọn gồm: thành tích học tập và nghề nghiệp, chất lượng hồ sơ, tiềm năng lãnh đạo, và hoàn cảnh tài chính.","Đơn ứng tuyển online
Bài luận
Phí nộp hồ sơ
Video assessment (trả lời 1 câu hỏi phỏng vấn, bắt buộc)
Phỏng vấn trực tuyến (30 phút, dành cho ứng viên được shortlist)
GMAT/GRE, TOEFL/IELTS (nếu cần)
CV/Resume
Bằng cấp & bảng điểm","Mở đơn: 01/08/2025
Vòng 1: 30/10/2025
Vòng 2: 15/01/2026
Vòng 3: 31/03/2026
Video assessment: 1–3 ngày sau nộp hồ sơ
Phỏng vấn: 2–4 tuần sau video assessment
Kết quả: khoảng 2 tuần sau phỏng vấn
Nhập học: 08/2026",https://mba.nus.edu.sg/admissions-and-funding/#how-to-apply
