Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),
UCL Research Excellence Scholarship (UCL-RES),University College London (UCL),Trường,"Miễn toàn bộ học phí (Home/Overseas) + stipend (ví dụ 2025/26: ~£22,780/năm)","Kèm một số quyền lợi nghỉ ốm, thai sản theo chính sách UCL",Tự nộp trực tuyến qua UCL,Chưa rõ,Chưa rõ,Thường tháng 1 (tuỳ khoa),~40 suất/năm (toàn UCL),Có,Mở toàn cầu,Không,Không giới hạn,PhD tại UCL,Cử nhân + bằng ThS phù hợp (tuỳ khoa),Không nêu,Không nêu,Không bắt buộc,"Thành tích học thuật xuất sắc, đề cương nghiên cứu tốt",Theo quy định UCL,HS online + đề cương + thư giới thiệu,Nộp trên cổng UCL,https://www.ucl.ac.uk/scholarships/research-excellence-scholarship,Stipend tham chiếu 2025/26; có chính sách leave riêng,Có,
Canada Graduate Scholarships – Doctoral (CGS-D),Tri-Agency (CIHR/NSERC/SSHRC),Chính phủ,Stipend theo cơ quan quản lý; hỗ trợ tối đa 36 tháng,Học bổng tiến sĩ cấp quốc gia Canada,Tự nộp qua cổng Tri-Agency/đại học,Chưa rõ,Chưa rõ,Chưa rõ,Không nêu,Không,Chỉ công dân hoặc thường trú Canada,Canada PR/Citizen,Không,Đa ngành (theo hội đồng),Cử nhân+ThS/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Thành tích học thuật & tiềm năng nghiên cứu,Theo Tri-Agency,HS online + minh chứng,Nộp theo hướng dẫn Tri-Agency,https://cihr-irsc.gc.ca/e/54349.html,Không mở cho ứng viên quốc tế (ví dụ VN),Có,
Monash Graduate Scholarship (MGS),Monash University,Trường,Stipend (mức công bố theo năm),Hỗ trợ chi phí sinh hoạt; có chính sách & thủ tục riêng,Tự nộp trực tuyến,Chưa rõ,Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,PhD/HDR tại Monash,Cử nhân + ThS phù hợp (tuỳ khoa),Không nêu,Không nêu,Không bắt buộc,Thành tích học thuật & đề cương,Theo quy định Monash,HS online + tài liệu,Nộp qua cổng Monash,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/monash-graduate-scholarship-mgs,MIPRS đã thay bằng MITS (tuition scholarship),Có,
University of Sydney Research Training Program (RTP) Scholarships,Australian Government + University of Sydney,Chính phủ,RTP fee offset + RTP stipend (trả theo kỳ; mức cập nhật hàng năm),Có phụ cấp khác theo FAQ,Tự nộp trực tuyến,Theo chu kỳ tuyển sinh,Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,HDR/PhD tại USyd,Cử nhân + ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & tiềm năng nghiên cứu,Theo quy định RTP,HS online + đề cương,Nộp trên cổng USyd,https://www.sydney.edu.au/scholarships/australian-government-research-training-program.html,,Có,
Melbourne Research Scholarship (MRS),University of Melbourne,Trường,"Full fee offset (đến 4 năm) + stipend (ví dụ 2025: A$38,500/năm, đến 3.5 năm)",Gồm nghỉ ốm/ thai sản có lương theo chính sách,Tự nộp/được xét tự động,Theo chu kỳ,Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,PhD tại UniMelb,Cử nhân + ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương nghiên cứu,Theo quy định UniMelb,Hồ sơ nhập học HDR,Được xét khi nộp HDR,https://scholarships.unimelb.edu.au/awards/graduate-research-scholarships,,Có,
Gates Cambridge Scholarship,Gates Cambridge Trust (University of Cambridge),Quỹ / Tổ chức,"Full fees + stipend (ví dụ ~£21,000/năm; PhD tối đa 4 năm) + vé máy bay",Có thêm quỹ tùy chọn,Tự nộp trực tuyến,Theo vòng Cambridge,Chưa rõ,Chưa rõ,~80 suất/năm,Có,Mở toàn cầu,Không,Không giới hạn,PhD tại Cambridge,Cử nhân + ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,"Xuất sắc học thuật, phù hợp chương trình, năng lực lãnh đạo",Theo quy định Trust,HS online + referees,Nộp trên cổng Cambridge/Gates,https://www.gatescambridge.org/programme/the-scholarship/,,Có,
Rhodes Scholarship,Rhodes Trust,Quỹ / Tổ chức,"Full fees Oxford + stipend; cơ bản 2 năm, có thể hỗ trợ năm 3 cho DPhil (theo điều kiện)",Hỗ trợ visa/IHS khi chuyển khoá,Đề cử & tự nộp trực tuyến theo khu vực,Theo khu vực,Chưa rõ,Chưa rõ,~100/năm (toàn cầu),Có,Theo quốc gia nhận học bổng Rhodes,Theo danh sách Rhodes,Không,PG tại Oxford (bao gồm DPhil),Cử nhân (thành tích cao),Không nêu,Không nêu,Không bắt buộc,"Lãnh đạo, học thuật xuất sắc, phục vụ cộng đồng",Theo Conditions of Tenure,HS online + phỏng vấn,Theo quy trình Rhodes,https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/,“DPhil funding” năm 3 theo điều kiện nêu trong CoT,Có,
Chevening Scholarship,UK FCDO + Chevening Secretariat,Chính phủ,Toàn phần thạc sĩ 1 năm (học phí + sinh hoạt + vé),**Không tài trợ PhD**,Tự nộp trực tuyến,Theo call hằng năm,Chưa rõ,Chưa rõ,~1.500+/năm toàn cầu,Không,Ứng viên học **Master 1 năm**,Không,Không,Không áp dụng bậc PhD,Cử nhân,Không nêu,Không nêu,Kinh nghiệm làm việc tối thiểu,Lãnh đạo/ảnh hưởng cộng đồng,Không áp dụng,HS online + referees,Nộp trên cổng Chevening,https://www.chevening.org/,Chỉ dành cho **Master 1 năm**,Có,
Commonwealth Scholarship (CSC) – PhD,Commonwealth Scholarship Commission (UK),Chính phủ,"Học phí, vé máy bay, sinh hoạt",Có PhD toàn phần và Split-site PhD,Tự nộp qua CSC + đề cử,Theo call,Chưa rõ,Theo call,Không nêu,Có,Công dân Khối Thịnh vượng chung,Theo danh sách CSC,Không,PhD tại ĐH UK,Cử nhân+ThS phù hợp,Không nêu,Không nêu,Ưu tiên có liên quan phát triển,Học thuật mạnh + tác động phát triển,Theo CSC,HS online + đề cử,https://cscuk.fcdo.gov.uk/about-us/scholarships/,Bao gồm route LDC/Fragile states,Có,,
UKRI Doctoral Training Partnerships (DTPs),UK Research & Innovation (UKRI),Chính phủ,Stipend + học phí mức Home; quốc tế **đủ điều kiện** (thường tối đa ~30% mỗi DTP),Một số DTP không cover visa/IHS,Nộp qua DTP/đại học chủ trì,Theo từng DTP,Chưa rõ,Chưa rõ,Không nêu,Có,Mở cho Home & International,Theo DTP,Theo lĩnh vực của DTP,PhD tại tổ chức UKRI RO,Cử nhân/ThS tương đương UK 2:1+,Không nêu,Không nêu,Không bắt buộc,Học thuật & phù hợp nghiên cứu,Theo UKRI,HS qua DTP,Nộp trên trang DTP/đại học,https://www.ukri.org/apply-for-funding/studentships-and-doctoral-training/get-a-studentship-to-fund-your-doctorate/,Quốc tế đủ điều kiện; trần tỷ lệ theo hướng dẫn UKRI,Có,
