Scholarship_Name,Scholarship_Organization,Scholarship_Type,Funding_level,Sponsorship Details,Application form,Application opening month (annual),Application start date,Application deadline,Scholarship slots,For Vietnamese students,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),Scholarship renewal conditions,Required documents,Application process,Scholarship link (URL),Notes ,Annual (Yes/No/Unknown),,,,
Chinese Government Scholarship (CGS),China Scholarship Council (CSC),Government,Tuition exemption/reduction + dormitory + monthly living allowance + insurance,Multiple streams (Bilateral/University/Provincial/Type A–B–C); apply through Embassy/General Consulate (Type A) or school (Type B); have Master/PhD slots,Online application + nomination,12–4,According to call,According to call,Tens of thousands,yes,Citizens of all countries; according to the quota of each category,List of receiving schools/category A–B–C,,All majors at the school are accepted.,Bachelor's degree (or equivalent),Not stated,Meet the school's admission standards,—,Academic; HSK (if studying Chinese),According to CSC regulations,Online form + invitation letter (depending on the category) + academic records,Submit through Embassy (Type A) or school (Type B),https://www.csc.edu.cn/,CSC official portal in Chinese; see individual school instructions,yes,,,,
Turkiye Burslari (Turkey Government Scholarship),Presidency for Turks Abroad (YTB),Government,Full: tuition + dormitory + insurance + airfare; allowance ~TL/month according to level,Including placement in Turkish universities; Master/PhD available,YTB ​​Online Submission Portal,1–2,Begin 1,End 2,Not published yet,yes,Citizens of eligible countries (except TR citizens),List of countries,,All industries according to targets,Bachelor's degree (or equivalent),Not stated,According to program/university conditions,—,Academics & Motivation,Extension by progress,Online application + transcript + passport + essay + interview,Submit on YTB system → seat arrangement,https://www.turkiyeburslari.gov.tr/,Turkiye Scholarships official website,yes,,,,
Danish Government Scholarship (University of Southern Denmark – SDU),University of Southern Denmark (SDU),Government,Full tuition fee exemption + living allowance (level announced by SDU monthly),Only for **non-EU/EEA** admission to some Masters at the Sønderborg campus,Application via SDU (with/after application),10–2,According to call SDU,According to call SDU,Limit,yes,Non-EU/EEA to Master in Sønderborg,—,yes,Designated Master's programs (Engineering…),Bachelor's degree (or equivalent),Not stated,Achieve SDU qualifying offer,—,Strong academics,According to SDU invitation,Application form + scholarship form,SDU review and notification,https://www.sdu.dk/en/uddannelse/fees_and_funding/scholarships,SDU – Danish Government Scholarship page,yes,,,,
Bangkok Government Scholarship (Chulalongkorn University – Graduate),Chulalongkorn University,University,Usually free tuition + living/housing allowance (level according to each faculty's announcement),Graduate Scholarship Program for International/ASEAN Students; **official name at CU is often Graduate Scholarships for ASEAN/Non-ASEAN**,Online application according to CU/faculty announcement,2–10,According to call CU,According to call CU,Not published yet,yes,International/ASEAN students,—,,CU Designated Master's Programs,Bachelor's degree (or equivalent),Not stated,According to CU admission standards,—,Academics & Motivation,By invitation,Application + transcript + outline (if required),Submit via faculty/CU portal → review,https://www.chula.ac.th/en/academics/admissions/scholarships/,The name “Bangkok Government Scholarship” is rarely used officially; use CU scholarship,yes,,,,
Government of Brunei Darussalam Scholarship,Brunei MFA,Government,Full: tuition + airfare + monthly BND allowance + dormitory + insurance,Have Master's degree at universities in Brunei,Online Application (BDGS),1–2,According to call,According to call,According to quota,yes,Citizens of eligible countries (including Vietnam),—,,By school/major list,Bachelor's degree (or equivalent),Not stated,According to the requirements of the receiving school,—,Academics & Foreign Languages,By invitation,BDGS application + documents,Portal MFA → review,https://www.mfa.gov.bn/Pages/scholarship.aspx,BDGS Official Website,yes,,,,
Stipendium Hungaricum (Hungarian Government Scholarship),Tempus Public Foundation (Hungary),Government,Full: tuition waiver + living allowance + dormitory + insurance,Have Master/PhD degree; apply online + through nominating agency,TPF Portal + nominated partners,11–1,According to call,According to call,">5,000 (whole program)",yes,Citizens of partner countries (including Vietnam),List of nominated partners,,According to Study Finder,Bachelor's degree (or equivalent),Not stated,According to sending country and school criteria,—,Academics & Motivation,Extension as prescribed,Portal + profile + nomination,Online → screening → offer,https://stipendiumhungaricum.hu/apply/,Official program page,yes,,,,
Government of Ireland – International Education Scholarship (GOI-IES),Higher Education Authority (Ireland),Government,"€10,000 + full tuition fee waiver/year (1 year)",**Master/PhD** apply; non-EU/EEA required; highly competitive (~60 places/year),HEA Online Application,1–3,According to call,According to call,~60/year,yes,Non-EU/EEA citizens,—,,By industry at the receiving HEI,Bachelor (requires invitation/offer to study Master at University in Ireland),Not stated,Meet HEI offer/conditions,—,Academics & Motivation,No renewal (1 year),Online application + proof,HEA review & announcement,https://hea.ie/policy/internationalisation/goi-ies/,Only 1 year sponsorship,yes,,,,
Italian Government Scholarship (MAECI),Italian Ministry of Foreign Affairs (MAECI),Government,Allowance **€1000/month** + exemption/reduction of some fees; insurance,**No standard Bachelor's funding**; **Master's/PhD/AFAM/Language Course** applies,“Study in Italy” Gate,4–5,According to call,~Middle 5,Not published yet,yes,Foreign/Italian citizens living abroad,—,Limited,By program category,Bachelor's degree (or equivalent),Not stated,According to school conditions,—,Academics & Motivation,By invitation,Application + profile on the portal,MAECI by call,https://www.esteri.it/en/opportunita/borse-di-studio/per-cittadini-stranieri/borsestudio_stranieri/,Official call every year,yes,,,,
Tianjin Government Scholarship (Master),Tianjin Municipal Government (via school),Government,Tuition exemption/reduction (full/partial) + insurance; some schools have subsidies,Apply through universities in Tianjin (e.g. Tianjin University),Application through the receiving school,1–6,According to school call,According to school call,Not published yet,yes,Non-Chinese international students,—,yes,By school directory in Tianjin,Bachelor's degree (or equivalent),Not stated,According to university criteria,—,Academics,By invitation,School application + TGS form,By school,https://www.tju.edu.cn/english/Admission/Tuition_Scholarships/Scholarships/,"For example, Tianjin University (TGS) page",yes,,,,
Master Mind Scholarship (Government of Flanders),Government of Flanders,Government,"**€9,600/year** + **tuition fee exemption/reduction** (level according to HEI)",HEI in Flanders nominates; Master’s applies,**Nominated** by Flanders School,12–2,According to call,According to call,~150/year,yes,International applicants for Master's studies in Flanders,—,,By industry/receiving HEI,Bachelor's degree (or equivalent),Not stated,Top profile ranking; English/HEI requirements,—,Academic excellence,By invitation,Nominated by school + apply online,HEI nomination → Gov review,https://www.studyinflanders.be/scholarships/master-mind-scholarships,Study in Flanders official website,yes,,,,
