Scholarship_Name,Tổ chức cấp học bổng,Scholarship_Type,Funding level,Sponsorship Details,Application form,Application opening month (annual),Application start date,Application deadline,Number of seats (if any),For Vietnamese students,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),,Scholarship renewal conditions,Required documents,Application process,Scholarship link (URL),Notes ,Annual (Yes/No/Unknown),
UCL Research Excellence Scholarship (UCL-RES),University College London (UCL),School,"Full tuition fee waiver (Home/Overseas) + stipend (e.g. 2025/26: ~£22,780/year)",,Self-apply online via UCL,Unknown,Unknown,Usually January (depending on department),~40 places/year (entire UCL),yes,Open globally,no,Unlimited,PhD at UCL,Bachelor's degree + relevant Master's degree (depending on the department),Not stated,Not stated,Optional,"Excellent academic performance, good research proposal",,According to UCL regulations,Online students + outline + recommendation letter,Submit on UCL portal,https://www.ucl.ac.uk/scholarships/research-excellence-scholarship,Stipend reference 2025/26; has separate leave policy,yes,
Canada Graduate Scholarships – Doctoral (CGS-D),Tri-Agency (CIHR/NSERC/SSHRC),Government,Stipend by regulatory agency; support up to 36 months,,Self-submit through Tri-Agency/University portal,Unknown,Unknown,Unknown,Not stated,no,Canadian citizens or permanent residents only,Canada PR/Citizen,no,Multidisciplinary (by council),Bachelor + Master/or equivalent,Not stated,Not stated,Optional,Academic achievements & research potential,,According to Tri-Agency,Online students + proof,Submit as per Tri-Agency guidelines,https://cihr-irsc.gc.ca/e/54349.html,Not open to international applicants (e.g. VN),yes,
Monash Graduate Scholarship (MGS),Monash University,School,Stipend (annual published rate),,Self-submit online,Unknown,Unknown,Unknown,Not stated,yes,Open globally,no,Unlimited,PhD/HDR at Monash,Bachelor's degree + Master's degree suitable (depending on the department),Not stated,Not stated,Optional,Academic Achievement & Syllabus,,According to Monash regulations,Online students + documents,Apply via Monash portal,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/monash-graduate-scholarship-mgs,MIPRS has been replaced by MITS (tuition scholarship),yes,
University of Sydney Research Training Program (RTP) Scholarships,Australian Government + University of Sydney,Government,RTP fee offset + RTP stipend (paid periodically; updated annually),,Self-submit online,According to the enrollment cycle,Unknown,Unknown,Not stated,yes,Open globally,no,Unlimited,HDR/PhD at USyd,Bachelor + Master suitable,Not stated,Not stated,Optional,Academics & Research Potential,,According to RTP regulations,Online students + outline,Submit on USyd portal,https://www.sydney.edu.au/scholarships/australian-government-research-training-program.html, ,yes,
Melbourne Research Scholarship (MRS),University of Melbourne,School,"Full fee offset (up to 4 years) + stipend (e.g. 2025: A$38,500/year, up to 3.5 years)",,Self-submit/automatically reviewed,Cyclical,Unknown,Unknown,Not stated,yes,Open globally,no,Unlimited,PhD at UniMelb,Bachelor + Master suitable,Not stated,Not stated,Optional,Academics & Research Outline,,According to UniMelb regulations,HDR Admission Profile,Considered when submitting HDR,https://scholarships.unimelb.edu.au/awards/graduate-research-scholarships, ,yes,
Gates Cambridge Scholarship,Gates Cambridge Trust (University of Cambridge),Fund / Organization,"Full fees + stipend (e.g. ~£21,000/year; PhD up to 4 years) + airfare",,Self-submit online,According to Cambridge round,Unknown,Unknown,~80 seats/year,yes,Open globally,no,Unlimited,PhD at Cambridge,Bachelor + Master suitable,Not stated,Not stated,Optional,"Academic excellence, program fit, leadership ability",,According to Trust regulations,Online students + referees,Submit on Cambridge/Gates portal,https://www.gatescambridge.org/programme/the-scholarship/, ,yes,
Rhodes Scholarship,Rhodes Trust,Fund / Organization,"Full fees Oxford + stipend; basic 2 years, can support year 3 for DPhil (subject to conditions)",,Nominate & self-submit online by region,By region,Unknown,Unknown,~100/year (global),yes,By country receiving Rhodes scholarships,According to the Rhodes list,no,PG at Oxford (including DPhil),Bachelor (high achievement),Not stated,Not stated,Optional,"Leadership, academic excellence, community service",,According to Conditions of Tenure,Online student + interview,According to the Rhodes process,https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/,“DPhil funding” year 3 under the conditions stated in the CoT,yes,
Chevening Scholarship,UK FCDO + Chevening Secretariat,Government,1-year full master's degree (tuition + living expenses + tickets),,Self-submit online,According to annual call,Unknown,Unknown,"~1,500+/year globally",no,Candidates for **1-year Master's**,no,no,Not applicable for PhD level,Bachelor,Not stated,Not stated,Minimum work experience,Community leadership/influence,,Not applicable,Online students + referees,Apply on Chevening portal,https://www.chevening.org/,Only for **1 year Master**,yes,
Commonwealth Scholarship (CSC) – PhD,Commonwealth Scholarship Commission (UK),Government,"Tuition, airfare, living expenses",,Self-submission via CSC + nomination,According to call,Unknown,According to call,Not stated,yes,Commonwealth Citizens,According to CSC list,no,PhD at UK University,Bachelor's + Master's degree suitable,Not stated,Not stated,Development-related priorities,Strong academics + development impact,,According to CSC,Online students + nominations,https://cscuk.fcdo.gov.uk/about-us/scholarships/,Includes LDC/Fragile states route,yes, ,
UKRI Doctoral Training Partnerships (DTPs),UK Research & Innovation (UKRI),Government,Stipend + Home level tuition; international **qualifies** (usually up to ~30% per DTP),,Submit via DTP/host university,By DTP,Unknown,Unknown,Not stated,yes,Open to Home & International,According to DTP,By DTP field,PhD at UKRI RO,Bachelor's/Master's degree equivalent to UK 2:1+,Not stated,Not stated,Optional,Academic & research relevance,,According to UKRI,HS through DTP,Submit on DTP/university site,https://www.ukri.org/apply-for-funding/studentships-and-doctoral-training/get-a-studentship-to-fund-your-doctorate/,International eligible; rate cap as per UKRI guidance,yes,
